,name,value,,,
391,TotCases.1Mpop,83063,,,
392,TotRecovered.1Mpop,1336,,,
393,TotCases.1Mpop,91429,,,
394,TotRecovered.1Mpop,89670,,,
395,TotCases.1Mpop,4263,,,
396,TotRecovered.1Mpop,4023,,,
397,TotCases.1Mpop,9335,,,
398,TotRecovered.1Mpop,9152,,,
399,TotCases.1Mpop,1501,,,
400,TotRecovered.1Mpop,1439,,,
401,TotCases.1Mpop,933,,,
402,TotRecovered.1Mpop,0,,,
403,TotCases.1Mpop,435,,,
404,TotRecovered.1Mpop,280,,,
405,TotCases.1Mpop,238757,,,
406,TotRecovered.1Mpop,0,,,
407,TotCases.1Mpop,121420,,,
408,TotRecovered.1Mpop,120324,,,
409,TotCases.1Mpop,363610,,,
410,TotRecovered.1Mpop,363326,,,
411,TotCases.1Mpop,299457,,,
412,TotRecovered.1Mpop,298579,,,
413,TotCases.1Mpop,422911,,,
414,TotRecovered.1Mpop,422361,,,
415,TotCases.1Mpop,253775,,,
416,TotRecovered.1Mpop,252659,,,
417,TotCases.1Mpop,27792,,,
418,TotRecovered.1Mpop,21901,,,
419,TotCases.1Mpop,553568,,,
420,TotRecovered.1Mpop,425247,,,
421,TotCases.1Mpop,532919,,,
422,TotRecovered.1Mpop,532919,,,
423,TotCases.1Mpop,281168,,,
424,TotRecovered.1Mpop,272508,,,
425,TotCases.1Mpop,221586,,,
426,TotRecovered.1Mpop,327,,,
427,TotCases.1Mpop,69295,,,
428,TotRecovered.1Mpop,39883,,,
429,TotCases.1Mpop,49322,,,
430,TotRecovered.1Mpop,49322,,,
431,TotCases.1Mpop,36295,,,
432,TotRecovered.1Mpop,36295,,,
433,TotCases.1Mpop,1658,,,
434,TotRecovered.1Mpop,0,,,
435,TotCases.1Mpop,16,,,
436,TotRecovered.1Mpop,14,,,
